 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.176188,3.66179,0.0016345,2.4608,0,42.7057,6.04992,4.22928,-0.779082,0.626922,141.584,2.99959,109.792,101.784,104.941,105.078,137.791,144.235,141.695
0.184539,3.61924,0.0015011,2.46707,2.99959,43.0461,5.83255,4.4181,-0.781551,0.623842,139.244,2.99937,107.762,99.7501,103.059,103.203,135.605,142,139.359
0.190652,3.59828,0.0014345,2.47,5.99896,43.2138,5.62029,4.61211,-0.783894,0.620895,136.897,2.99919,105.743,97.7214,101.187,101.337,133.407,139.76,137.015
0.194881,3.55696,0.0013017,2.47547,8.99815,43.5443,5.4088,4.82387,-0.786114,0.618081,134.543,2.99904,103.731,95.6873,99.3262,99.4794,131.2,137.525,134.663
0.197582,3.53659,0.0012353,2.478,11.9972,43.7073,5.19447,5.05162,-0.788212,0.615403,132.183,2.99893,101.725,93.6484,97.4744,97.6302,128.986,135.292,132.304
0.199104,3.495,0.0011029,2.48268,14.9961,44.0286,4.99107,5.273,-0.79019,0.612862,129.816,2.99886,99.7328,91.6222,95.6315,95.7889,126.758,133.048,129.938
0.199796,3.46729,0.0010368,2.48481,17.995,44.1869,4.78801,5.40911,-0.792049,0.610458,127.444,2.99881,97.7473,89.6707,93.7967,93.955,124.522,130.746,127.566
0.2,3.41281,0.0009168,2.48871,20.9938,44.4982,4.60503,5.54791,-0.793789,0.608193,125.067,2.99878,95.7835,87.7242,91.9694,92.1281,122.266,128.441,125.189
0.2,3.38604,0.0008666,2.49049,23.9926,44.6512,4.41364,5.77614,-0.795413,0.606068,122.685,2.99877,93.8185,85.7134,90.1487,90.3078,120.01,126.185,122.806
0.199939,3.33338,0.0007829,2.49378,26.9913,44.9521,4.24946,5.9544,-0.796921,0.604083,120.297,2.99877,91.8802,83.7485,88.3343,88.4937,117.73,123.894,120.418
0.199855,3.30749,0.000742,2.49531,29.9901,45.1001,4.08338,6.12547,-0.798315,0.60224,117.906,2.99879,89.9451,81.7952,86.5257,86.6853,115.447,121.595,118.026
0.199756,3.25656,0.0006602,2.49811,32.9889,45.3911,3.91938,6.33608,-0.799595,0.60054,115.51,2.99882,88.016,79.8158,84.7224,84.8821,113.157,119.315,115.63
0.19965,3.23151,0.0006193,2.49939,35.9877,45.5342,3.74792,6.62183,-0.800762,0.598982,113.111,2.99885,86.085,77.7813,82.9239,83.0838,110.866,117.077,113.231
0.19954,3.18221,0.0005375,2.5017,38.9866,45.8159,3.57578,6.94049,-0.801818,0.597569,110.708,2.99888,84.157,75.7249,81.1299,81.2899,108.572,114.856,110.828
