 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.198009,1.87901,4.1e-06,0.984034,0,53.8342,2.52825,11.9307,0.553894,0.832587,-48.5609,2.99864,-2.70946,5.29929,-1.1994,-1.30908,-50.6659,-38.6275,-48.396
0.197088,1.8547,4.3e-06,0.98405,2.99864,53.9731,2.53303,11.931,0.553943,0.832554,-46.8999,2.99865,-5.20882,2.80342,-3.69649,-3.80566,-49.0087,-36.9667,-46.7358
0.195954,1.84269,4.4e-06,0.984059,5.99729,54.0418,2.52844,11.9296,0.553991,0.832523,-45.2387,2.99865,-7.7029,0.306709,-6.19361,-6.30216,-47.3437,-35.3071,-45.0756
0.194611,1.81895,4.5e-06,0.984077,8.99594,54.1774,2.51669,11.9313,0.554037,0.832492,-43.5774,2.99866,-10.1929,-2.18817,-8.69075,-8.79857,-45.6725,-33.6447,-43.4154
0.193064,1.80721,4.6e-06,0.984086,11.9946,54.2445,2.50244,11.9326,0.554082,0.832462,-41.916,2.99866,-12.6814,-4.68326,-11.1879,-11.2949,-43.9991,-31.9825,-41.7552
0.191318,1.78401,4.8e-06,0.984105,14.9933,54.3771,2.50739,11.9216,0.554125,0.832434,-40.2544,2.99867,-15.1805,-7.18506,-13.6851,-13.7911,-42.3416,-30.3304,-40.0951
0.189378,1.77255,4.9e-06,0.984114,17.9919,54.4426,2.52266,11.8974,0.554166,0.832406,-38.5927,2.99867,-17.6853,-9.69415,-16.1823,-16.2873,-40.6926,-28.6892,-38.435
0.187247,1.74987,5.1e-06,0.984134,20.9906,54.5722,2.54394,11.871,0.554206,0.83238,-36.9309,2.99868,-20.1932,-12.2044,-18.6796,-18.7834,-39.0484,-27.0496,-36.775
0.184931,1.73866,5.1e-06,0.984144,23.9893,54.6362,2.55205,11.84,0.554244,0.832354,-35.2689,2.99868,-22.6938,-14.7171,-21.1769,-21.2794,-37.3931,-25.4138,-35.115
0.182435,1.7165,5.3e-06,0.984165,26.988,54.7629,2.53987,11.7964,0.554281,0.83233,-33.6068,2.99869,-25.1831,-17.2368,-23.6742,-23.7753,-35.7209,-23.7884,-33.455
0.179762,1.70554,5.4e-06,0.984176,29.9867,54.8255,2.53328,11.759,0.554315,0.832307,-31.9447,2.99869,-27.6754,-19.753,-26.1715,-26.2712,-34.0531,-22.1576,-31.7951
0.176918,1.68388,5.6e-06,0.984198,32.9853,54.9493,2.52569,11.7344,0.554349,0.832284,-30.2824,2.9987,-30.1671,-22.262,-28.6689,-28.767,-32.3845,-20.516,-30.1352
0.173908,1.67316,5.7e-06,0.984209,35.984,55.0105,2.54727,11.7057,0.55438,0.832264,-28.62,2.9987,-32.6749,-24.7733,-31.1663,-31.2627,-30.74,-18.8778,-28.4753
0.170735,1.65198,5.9e-06,0.984232,38.9827,55.1315,2.5647,11.6992,0.55441,0.832244,-26.9576,2.99871,-35.1803,-27.2722,-33.6638,-33.7584,-29.092,-17.221,-26.8155
0.167405,1.64151,5.9e-06,0.984244,41.9815,55.1914,2.5683,11.7057,0.554439,0.832225,-25.295,2.99871,-37.678,-29.764,-36.1612,-36.254,-27.4324,-15.5532,-25.1557
0.163921,1.62079,6.1e-06,0.984268,44.9802,55.3098,2.56567,11.7093,0.554465,0.832207,-23.6323,2.99872,-40.1722,-32.2572,-38.6587,-38.7496,-25.7675,-13.8878,-23.4959
0.16029,1.61055,6.2e-06,0.984281,47.9789,55.3683,2.56632,11.7048,0.554491,0.83219,-21.9696,2.99872,-42.6681,-34.7549,-41.1563,-41.2451,-24.1053,-12.229,-21.8362
0.156515,1.59028,6.4e-06,0.984306,50.9776,55.4841,2.5528,11.7013,0.554514,0.832174,-20.3068,2.99872,-45.1562,-37.2521,-43.6538,-43.7406,-22.4312,-10.5693,-20.1766
0.152601,1.58026,6.5e-06,0.984319,53.9763,55.5413,2.551,11.6961,0.554536,0.83216,-18.644,2.99873,-47.6507,-39.7502,-46.1514,-46.2361,-20.7668,-8.91096,-18.517
0.148553,1.56045,6.6e-06,0.984345,56.9751,55.6546,2.54458,11.6876,0.554557,0.832146,-16.981,2.99873,-50.1426,-42.25,-48.6491,-48.7315,-19.0985,-7.25524,-16.8574
0.144375,1.55064,6.7e-06,0.984358,59.9738,55.7106,2.55686,11.687,0.554575,0.832134,-15.318,2.99873,-52.6448,-44.7455,-51.1468,-51.2268,-17.4457,-5.59287,-15.1979
0.140072,1.53125,6.9e-06,0.984386,62.9725,55.8214,2.57681,11.693,0.554592,0.832122,-13.655,2.99874,-55.1512,-47.2373,-53.6445,-53.7222,-15.7992,-3.925,-13.5384
0.135649,1.52167,7e-06,0.984399,65.9713,55.8762,2.60535,11.7101,0.554608,0.832112,-11.9919,2.99874,-57.6624,-49.723,-56.1422,-56.2175,-14.1598,-2.24777,-11.879
0.13111,1.50269,7.2e-06,0.984428,68.97,55.9846,2.6199,11.7198,0.554621,0.832103,-10.3287,2.99874,-60.1658,-52.2127,-58.64,-58.7127,-12.5088,-0.57663,-10.2196
0.12646,1.48567,7.3e-06,0.984442,71.9687,56.0382,2.6319,11.7201,0.554634,0.832095,-8.66555,2.99875,-62.6677,-54.7076,-61.1378,-61.208,-10.8555,1.08665,-8.56032
0.121703,1.44623,7.4e-06,0.984472,74.9675,56.1434,2.63714,11.716,0.554644,0.832087,-7.00232,2.99875,-65.1659,-57.205,-63.6357,-63.7032,-9.19665,2.74641,-6.90106
0.116845,1.42693,7.5e-06,0.984487,77.9662,56.1948,2.64791,11.7208,0.554653,0.832082,-5.33907,2.99875,-67.6671,-59.6974,-66.1336,-66.1984,-7.54235,4.41363,-5.24185
0.111889,1.38916,7.7e-06,0.984517,80.965,56.2956,2.66823,11.7215,0.554661,0.832077,-3.6758,2.99875,-70.1736,-62.1922,-68.6316,-68.6936,-5.89597,6.07736,-3.58269
0.106841,1.37067,7.8e-06,0.984532,83.9637,56.3449,2.6859,11.7348,0.554666,0.832073,-2.0125,2.99876,-72.6786,-64.6799,-71.1295,-71.1888,-4.24736,7.75172,-1.9236
0.101705,1.33448,8e-06,0.984564,86.9625,56.4414,2.69339,11.7601,0.554671,0.83207,-0.349183,2.99876,-75.1779,-67.161,-73.6276,-73.684,-2.59027,9.43608,-0.264557
0.0964853,1.31677,8.1e-06,0.98458,89.9613,56.4886,2.69566,11.7722,0.554673,0.832068,1.31414,2.99876,-77.6744,-69.6494,-76.1256,-76.1792,-0.928828,11.1095,1.39442
0.0911872,1.28209,8.2e-06,0.984613,92.96,56.5811,2.69618,11.7728,0.554674,0.832068,2.97747,2.99876,-80.1698,-72.1442,-78.6237,-78.6743,0.734072,12.7733,3.05335
0.085815,1.26511,8.3e-06,0.984629,95.9588,56.6264,2.70851,11.7604,0.554673,0.832068,4.64081,2.99876,-82.6718,-74.6463,-81.1219,-81.1695,2.38714,14.4262,4.71221
0.0803735,1.23187,8.5e-06,0.984663,98.9575,56.715,2.71975,11.7237,0.554671,0.83207,6.30413,2.99876,-85.1732,-77.1619,-83.6201,-83.6647,4.04111,16.0591,6.37101
0.0748672,1.2156,8.6e-06,0.98468,101.956,56.7584,2.72829,11.7018,0.554667,0.832072,7.96745,2.99877,-87.6731,-79.6693,-86.1183,-86.1598,5.69732,17.7042,8.02975
0.0693008,1.18373,8.8e-06,0.984714,104.955,56.8434,2.73752,11.7024,0.554662,0.832076,9.63076,2.99877,-90.1734,-82.1642,-88.6166,-88.655,7.35294,19.3681,9.68842
0.063679,1.16813,8.9e-06,0.984732,107.954,56.885,2.74108,11.7115,0.554654,0.832081,11.294,2.99877,-92.6706,-84.6544,-91.1149,-91.1502,9.01324,21.039,11.347
0.0580062,1.13758,9e-06,0.984768,110.953,56.9665,2.74429,11.7304,0.554646,0.832087,12.9573,2.99877,-95.1676,-87.1392,-93.6133,-93.6455,10.6738,22.718,13.0056
0.0522873,1.12261,9.1e-06,0.984786,113.951,57.0064,2.7435,11.7464,0.554635,0.832094,14.6205,2.99877,-97.6623,-89.6257,-96.1117,-96.1407,12.3377,24.3947,14.6641
0.0465268,1.09331,9.3e-06,0.984823,116.95,57.0845,2.73915,11.7568,0.554623,0.832102,16.2837,2.99877,-100.155,-92.1154,-98.6102,-98.636,14.0045,26.0666,16.3225
0.0407294,1.07896,9.4e-06,0.984841,119.949,57.1228,2.733,11.757,0.554609,0.832111,17.9469,2.99877,-102.647,-94.6107,-101.109,-101.131,15.6728,27.7301,17.9808
0.0348997,1.05085,9.6e-06,0.984879,122.948,57.1977,2.72361,11.7575,0.554594,0.832121,19.61,2.99877,-105.137,-97.1059,-103.607,-103.627,17.3437,29.3937,19.6391
0.0290423,1.03709,9.6e-06,0.984898,125.946,57.2344,2.704,11.7593,0.554577,0.832132,21.2731,2.99877,-107.621,-99.6005,-106.106,-106.122,19.023,31.0584,21.2973
0.0231619,1.01012,9.8e-06,0.984937,128.945,57.3063,2.69303,11.7534,0.554559,0.832144,22.9361,2.99877,-110.111,-102.099,-108.604,-108.617,20.6951,32.7166,22.9554
0.0172632,0.996916,9.9e-06,0.984957,131.944,57.3416,2.68833,11.7283,0.554539,0.832158,24.5991,2.99877,-112.604,-104.609,-111.103,-111.113,22.362,34.3589,24.6134
0.0113506,0.971042,1.01e-05,0.984997,134.943,57.4106,2.69152,11.6941,0.554517,0.832172,26.262,2.99877,-115.101,-107.124,-113.602,-113.608,24.0222,35.9935,26.2714
0.005429,0.958369,1.02e-05,0.985017,137.942,57.4443,2.68914,11.6604,0.554494,0.832188,27.9248,2.99877,-117.595,-109.638,-116.101,-116.104,25.6869,37.6284,27.9293
-0.0004971,0.933539,1.04e-05,0.985058,140.94,57.5106,2.69755,11.6547,0.554469,0.832205,29.5876,2.99877,-120.095,-112.137,-118.6,-118.599,27.3427,39.2866,29.5871
-0.0064231,0.921377,1.04e-05,0.985079,143.939,57.543,2.71578,11.6519,0.554442,0.832222,31.2502,2.99876,-122.601,-114.635,-121.098,-121.095,28.9901,40.9472,31.2449
-0.0123442,0.897545,1.06e-05,0.985121,146.938,57.6065,2.73461,11.649,0.554414,0.832241,32.9128,2.99876,-125.107,-117.132,-123.597,-123.591,30.637,42.6076,32.9026
-0.0182559,0.885872,1.07e-05,0.985142,149.937,57.6377,2.75131,11.6532,0.554384,0.832261,34.5753,2.99876,-127.612,-119.626,-126.096,-126.086,32.2855,44.2739,34.5602
-0.0241536,0.862995,1.09e-05,0.985186,152.935,57.6987,2.77057,11.6512,0.554353,0.832282,36.2378,2.99876,-130.118,-122.123,-128.595,-128.582,33.9319,45.9348,36.2177
-0.0300325,0.851789,1.1e-05,0.985207,155.934,57.7286,2.77738,11.6553,0.55432,0.832304,37.9001,2.99876,-132.617,-124.617,-131.095,-131.078,35.5885,47.6009,37.8751
-0.0358881,0.829827,1.11e-05,0.985251,158.933,57.7871,2.78861,11.653,0.554285,0.832327,39.5623,2.99875,-135.119,-127.115,-133.594,-133.574,37.2413,49.2614,39.5324
