x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
11.1272972; 15.5610968; 0.9604407; 1.1213024; -0.8424315; 0.5388035; -0.0372978; 0.0000000; 2.5318130; -0.0075372; 11.4512171; 5.4513599
10.5740497; 14.6997248; 1.0192498; 1.0682952; -0.8402877; 0.5421408; 0.0061066; 1.0247210; 2.5270012; -0.0061711; 11.7797321; 5.5169070
10.0231695; 13.8501584; 1.0612894; 1.0136238; -0.8377323; 0.5460811; 0.0504711; 2.0380954; 2.5199124; -0.0041642; 12.4212888; 5.5702142
9.4731632; 13.0112589; 1.1031742; 0.9718258; -0.8347644; 0.5506073; 0.0936875; 3.0417588; 2.5172037; -0.0035634; 12.7313206; 5.6045967
8.9225371; 12.1818874; 1.1473980; 0.9476102; -0.8313787; 0.5557062; 0.1341583; 4.0373952; 2.5130635; -0.0023547; 13.3355364; 5.6529968
8.3697978; 11.3609052; 1.1724584; 0.9154393; -0.8275757; 0.5613541; 0.1704306; 5.0267348; 2.5116252; -0.0017519; 13.6290327; 5.6484126
7.8134517; 10.5471735; 1.1841330; 0.8916581; -0.8233592; 0.5675206; 0.2011216; 6.0115621; 2.5099251; -0.0007205; 14.1986107; 5.6866795
7.2520053; 9.7395535; 1.2446814; 0.8252880; -0.8187376; 0.5741678; 0.2249744; 6.9937273; 2.5095725; -0.0002872; 14.4762461; 4.9380257
6.6839652; 8.9369065; 1.2383658; 0.8143572; -0.8137236; 0.5812521; 0.2408731; 7.9751505; 2.5094936; 0.0000619; 14.7130815; 3.3326240
6.1078378; 8.1380936; 1.2448291; 0.8338144; -0.8083346; 0.5887233; 0.2478523; 8.9578223; 2.5098705; 0.0003650; 14.9432440; -1.2989801
5.5221295; 7.3419761; 1.2281297; 0.8460837; -0.8025916; 0.5965289; 0.2452090; 9.9437978; 2.5100901; 0.0002625; 14.8822718; -3.9791481
4.9253469; 6.5474152; 1.2028084; 0.8721916; -0.7965240; 0.6046070; 0.2325034; 10.9351849; 2.5102560; -0.0001515; 14.4319493; -6.7025677
4.3159965; 5.7532721; 1.1803378; 0.9143139; -0.7901492; 0.6129145; 0.2094688; 11.9341221; 2.5099672; -0.0006692; 14.1031130; -6.7701928
3.6925847; 4.9584080; 1.1351533; 0.9555106; -0.7835480; 0.6213312; 0.1761870; 12.9427825; 2.5093606; -0.0010583; 13.7629851; -6.6967799
3.0536181; 4.1616842; 1.0799268; 1.0044078; -0.7765771; 0.6300222; 0.1330176; 13.9632731; 2.5064449; -0.0034296; 13.0686408; -6.5895115
2.3977235; 3.3619673; 1.0174204; 1.0666762; -0.7701241; 0.6378940; 0.0812233; 14.9977529; 2.5040080; -0.0035446; 12.7107939; -6.5142851
1.7277561; 2.5583143; 0.9434310; 1.1315690; -0.7668728; 0.6417991; 0.0236812; 16.0453181; 2.5008389; -0.0003727; 11.9772618; -6.4429693
1.0518131; 1.7500184; 0.8730774; 1.2019226; -0.7680344; 0.6404086; -0.0350241; 17.1005910; 2.5007761; 0.0001912; 11.5946050; -6.4026106
