 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.092886,5.86597,0.035868,-1.71641,0,13.4927,2.04362,2.53558,-0.0211047,-0.999777,25.2449,3.07189,32.615,32.5184,32.5699,32.5719,27.2881,22.7099,25.152
0.435076,5.83157,0.0302216,-1.58156,3.07189,15.1257,2.37519,2.19975,0.0568995,-0.99838,25.3044,3.05156,35.4675,35.7278,35.6274,35.6026,27.6758,23.1082,24.8701
0.681227,5.81444,0.0242776,-1.52725,6.12345,15.8761,2.53218,2.13123,0.112259,-0.993679,25.5649,3.03027,38.3172,38.8407,38.678,38.6015,28.081,23.4471,24.8879
0.836968,5.78034,0.0140778,-1.45075,9.15372,17.2735,2.53782,2.30895,0.144432,-0.989515,25.9558,3.00403,41.2108,41.9109,41.6983,41.5774,28.467,23.6711,25.1276
0.906339,5.76336,0.0088662,-1.42786,12.1577,17.9285,2.44042,2.45576,0.152491,-0.988305,26.4069,2.97867,44.1672,44.9138,44.6775,44.5393,28.8188,23.9799,25.5112
0.888711,5.72956,0.0021833,-1.40826,15.1364,19.1663,2.33677,2.33871,0.140214,-0.990121,26.8483,2.97126,47.1686,47.8242,47.6209,47.4963,29.162,24.5327,25.9684
0.793554,5.71273,0.0016978,-1.40439,18.1077,19.7536,2.26005,2.3777,0.123857,-0.9923,27.2405,2.97612,50.1741,50.7485,50.5523,50.454,29.4831,24.8811,26.453
0.646187,5.67922,-0.0012125,-1.40371,21.0838,20.8738,2.22769,2.35576,0.112957,-0.9936,27.5925,2.98048,53.162,53.6797,53.4866,53.4136,29.8059,25.2518,26.9504
0.477423,5.66254,-0.0021848,-1.4071,24.0643,21.4096,2.20174,2.31259,0.106142,-0.994351,27.9178,2.98451,56.1417,56.6209,56.4261,56.3754,30.1071,25.6182,27.443
0.313455,5.62933,-0.0028525,-1.41721,27.0488,22.4385,2.19924,2.29371,0.104012,-0.994576,28.2298,2.98758,59.1112,59.5785,59.3725,59.3399,30.4171,25.9485,27.918
0.172764,5.6128,-0.0031877,-1.42323,30.0364,22.9334,2.20937,2.30257,0.105127,-0.994459,28.5414,2.98949,62.0754,62.5497,62.3258,62.3076,30.7386,26.2516,28.3696
0.0652453,5.57988,-0.0034325,-1.43668,33.0259,23.8885,2.22869,2.29479,0.107021,-0.994257,28.8583,2.99074,65.0396,65.5237,65.2851,65.2781,31.0742,26.5767,28.7935
-0.0060578,5.56349,-0.0032949,-1.44339,36.0166,24.3499,2.26287,2.23867,0.109033,-0.994038,29.1812,2.99165,68.0037,68.4945,68.2498,68.2504,31.4306,26.9559,29.1872
-0.0416376,5.53086,-0.0028569,-1.45571,39.0083,25.2436,2.29165,2.19423,0.111316,-0.993785,29.5108,2.99222,70.9686,71.468,71.2191,71.2237,31.7882,27.3302,29.5521
-0.0435007,5.51462,-0.0025855,-1.46114,42.0005,25.6769,2.31063,2.20649,0.113832,-0.9935,29.8476,2.99239,73.934,74.4482,74.1921,74.197,32.1432,27.6554,29.8908
-0.0144807,5.48227,-0.0019674,-1.47024,44.9929,26.5187,2.3201,2.23313,0.11659,-0.99318,30.1922,2.9921,76.8989,77.4298,77.1677,77.1694,32.4965,27.9743,30.2066
0.0420791,5.46617,-0.0016381,-1.47384,47.985,26.9279,2.32949,2.24462,0.119598,-0.992822,30.5455,2.99124,79.8614,80.4085,80.145,80.14,32.8582,28.3169,30.5037
0.122527,5.43411,-0.0009245,-1.47903,50.9762,27.7247,2.35238,2.21016,0.122834,-0.992427,30.9078,2.98977,82.8189,83.3793,83.1229,83.1078,33.2424,28.7144,30.7862
0.222878,5.41815,-0.0004733,-1.48042,53.966,28.1129,2.38646,2.20464,0.126389,-0.991981,31.28,2.98747,85.7704,86.3507,86.1002,86.072,33.6473,29.093,31.0589
0.338173,5.38637,0.0001298,-1.48106,56.9534,28.8704,2.37811,2.26267,0.129723,-0.99155,31.6624,2.98487,88.7233,89.3253,89.0756,89.0318,34.0204,29.4188,31.3271
0.461658,5.37055,0.0003914,-1.48054,59.9383,29.2402,2.334,2.32335,0.131779,-0.991279,32.0526,2.98258,91.68,92.2938,92.0484,91.9876,34.3663,29.7495,31.595
0.585087,5.33905,0.0009966,-1.47774,62.9209,29.9629,2.29363,2.39105,0.132253,-0.991216,32.4464,2.98069,94.6379,95.2575,95.0186,94.9413,34.7199,30.0763,31.8664
0.699923,5.32337,0.0012543,-1.47549,65.9016,30.3162,2.2583,2.42939,0.131212,-0.991354,32.8392,2.97931,97.5981,98.2132,97.9863,97.8944,35.078,30.4308,32.1453
0.798199,5.29215,0.0016159,-1.46973,68.8809,31.0078,2.24242,2.46761,0.128635,-0.991692,33.2267,2.97871,100.56,101.166,100.951,100.849,35.4505,30.7796,32.4351
0.872793,-9.2312,0.0017551,-1.46636,71.8596,31.3464,2.23086,2.4544,0.12454,-0.992214,33.6045,2.97924,103.528,104.112,103.915,103.806,35.818,31.1692,32.7385
0.917437,-12.0591,0.0017837,-1.45925,74.8388,29.9646,2.2157,2.4295,0.118895,-0.992907,33.9681,2.98146,106.504,107.057,106.877,106.768,36.1681,31.5558,33.0571
0.927092,-12.1414,0.001743,-1.45573,77.8203,29.1509,2.22992,2.38766,0.111848,-0.993725,34.3131,2.98521,109.486,110.003,109.839,109.736,36.529,31.9404,33.3918
0.899467,-13.3544,0.000264,-1.45217,80.8055,27.3836,2.27406,2.34947,0.102891,-0.994693,34.6351,2.99359,112.478,112.953,112.804,112.712,36.8971,32.2981,33.7404
0.839722,-13.403,-4.3e-06,-1.45191,83.7991,26.3929,2.35009,2.31333,0.0950916,-0.995468,34.9309,3.00474,115.473,115.917,115.777,115.697,37.2703,32.628,34.0949
0.765254,-13.2649,0.0001942,-1.45149,86.8039,24.2895,2.45597,2.26442,0.0946137,-0.995514,35.2134,3.01088,118.455,118.902,118.76,118.688,37.6583,32.9591,34.4516
0.701953,-12.7319,0.0002429,-1.45105,89.8147,23.1746,2.5177,2.17386,0.103308,-0.994649,35.5085,3.01109,121.417,121.902,121.75,121.677,38.0127,33.3463,34.8103
0.67365,-11.0409,0.0030779,-1.44558,92.8258,20.9406,2.52112,2.14004,0.120807,-0.992676,35.8423,3.00869,124.353,124.916,124.739,124.657,38.3449,33.7179,35.1736
0.691608,-9.66484,0.0057028,-1.43683,95.8345,19.8611,2.4508,2.22126,0.14727,-0.989096,36.2409,3.00669,127.26,127.948,127.723,127.621,38.665,34.0438,35.5568
0.746809,-6.95424,0.0152752,-1.39621,98.8412,17.9658,2.30621,2.27451,0.18275,-0.983159,36.7304,3.00684,130.139,130.976,130.697,130.561,38.9977,34.4942,35.9961
0.806824,-5.48111,0.0212284,-1.35978,101.848,17.1763,2.06516,2.29487,0.226923,-0.973913,37.3369,3.0113,133,133.99,133.652,133.469,39.3482,35.1019,36.5511
0.819031,-4.69302,0.0332708,-1.24793,104.859,15.947,1.77077,2.26903,0.280238,-0.959931,38.0865,3.01893,135.842,136.974,136.568,136.338,39.7863,35.9084,37.3003
0.726933,-4.79353,0.0349118,-1.17979,107.878,15.3488,1.49885,2.24117,0.338656,-0.94091,39.0054,3.04353,138.654,139.92,139.407,139.161,40.4157,36.8966,38.3214
0.519745,-2.07383,0.04552,-1.02403,110.922,14.1565,1.34614,2.14651,0.419909,-0.907566,40.125,3.03534,141.359,142.825,142.142,141.924,41.3467,38.1769,39.6533
0.291452,-0.141035,0.0576041,-0.921713,113.957,13.8612,1.36311,2.04716,0.567497,-0.823376,41.5655,3.0063,143.733,145.668,144.672,144.507,42.6878,39.8799,41.3255
0.187255,-0.0416797,0.0675422,-0.657255,116.963,13.8205,1.2999,1.88175,0.756488,-0.654008,43.5182,3.07413,145.72,148.127,146.845,146.703,44.3683,42.2875,43.3957
0.230417,1.536,0.0593347,-0.531108,120.038,13.8145,1.21958,1.78519,0.884314,-0.466892,46.028,3.10555,147.308,149.965,148.59,148.386,46.5974,45.1945,45.9204
0.294724,2.73861,0.0489138,-0.316353,123.143,14.3762,1.21852,1.78771,0.946157,-0.323707,48.8424,3.01429,148.436,151.281,149.868,149.589,49.2368,48.2637,48.747
0.322921,4.71264,0.0373492,-0.229905,126.157,14.7513,1.33205,1.77292,0.980212,-0.197952,51.7112,2.95062,149.059,152.103,150.681,150.365,51.9749,51.3602,51.6473
0.403843,5.80885,0.0239638,-0.112532,129.108,16.1134,1.61411,1.85384,0.996707,-0.0810869,54.5889,2.96604,149.159,152.615,151.17,150.768,54.7198,54.4386,54.5562
0.58441,-5.85349,0.0230102,-0.0655829,132.074,16.8171,1.86111,2.09806,0.999823,0.0187941,57.4986,3.03299,148.992,152.951,151.437,150.853,57.4636,57.538,57.5096
0.820163,-6.16563,0.0292525,0.0365796,135.107,15.3052,1.99278,2.38909,0.995453,0.0952577,60.4632,3.1245,148.693,153.055,151.493,150.677,60.2733,60.6907,60.5413
0.995802,-5.41076,0.0333345,0.0991016,138.232,14.4794,2.20452,2.48596,0.988325,0.152359,63.5054,3.2167,148.115,152.75,151.278,150.293,63.1695,63.8841,63.6571
1.00393,-3.71707,0.0516769,0.265027,141.448,13.0747,2.34662,2.45393,0.974508,0.224355,66.5921,3.2234,147.426,152.104,150.691,149.713,66.0656,67.1426,66.8173
0.800653,-2.37178,0.0693993,0.507294,144.672,11.983,2.34844,2.37917,0.940379,0.340129,69.5737,3.12151,146.64,151.086,149.601,148.848,68.775,70.383,69.8461
0.421697,-0.900844,0.0799747,0.654352,147.793,11.5814,2.17921,2.52573,0.864579,0.502498,72.2861,2.94826,145.719,149.787,147.967,147.603,71.1911,73.5553,72.498
-0.0227405,-0.09582,0.099882,1.02524,150.741,11.4085,1.86162,3.0393,0.707234,0.706979,74.565,2.80843,144.561,148.027,145.862,145.878,73.2488,76.7137,74.5489
-0.417624,-0.556095,0.093473,1.21712,153.55,11.3917,1.86762,4.04552,0.459376,0.888242,76.2445,2.70009,142.729,145.446,143.395,143.587,74.5856,79.8379,75.8735
-0.637036,-0.0936304,0.0903786,1.40001,156.25,11.2939,2.50704,4.84898,0.141663,0.989915,77.128,2.60639,140.51,141.552,140.775,140.865,74.6462,81.928,76.4973
-0.55697,2.15433,0.0847934,1.77891,158.856,11.2608,3.56458,5.42901,-0.242653,0.970113,76.9924,2.8543,138.906,136.724,138.177,138.041,73.5344,82.2592,76.4521
-0.110521,4.55554,0.0616305,1.92528,161.711,11.6362,4.32848,5.56632,-0.529689,0.848192,75.8033,3.18321,137.66,132.419,135.426,135.368,72.1319,80.5246,75.7095
0.550917,5.86965,0.0286918,2.10047,164.894,13.3063,4.67594,4.5647,-0.662784,0.748811,73.9358,3.21251,136.016,129.891,132.552,132.917,70.4344,77.3539,74.3483
1.22666,5.85241,0.0081616,2.1374,168.106,14.1589,4.55419,3.7173,-0.698543,0.715568,71.7981,2.93878,133.848,128.07,129.81,130.666,68.5393,74.4581,72.6759
1.77091,-4.61782,-0.0401085,2.07542,171.045,14.5716,4.23393,3.5186,-0.633654,0.773616,69.7531,2.56032,131.12,126.207,127.315,128.437,66.4777,72.4751,71.1231
2.09557,-2.66455,-0.0432356,1.99148,173.605,13.9252,4.10983,3.56325,-0.482029,0.876155,68.1224,2.40054,128.027,124.329,125.036,126.046,64.5216,71.2444,69.9585
2.19355,-1.65051,-0.0571273,1.8899,176.006,13.5381,4.17099,3.64356,-0.28734,0.957829,67.0177,2.50667,124.618,122.372,122.789,123.419,63.0226,70.5076,69.1188
2.1244,-1.56485,-0.0649675,1.76983,178.513,13.2927,4.30459,3.68434,-0.0867094,0.996234,66.4716,2.71205,120.899,120.207,120.342,120.526,62.1832,70.1421,68.588
1.99149,-1.71337,-0.0696086,1.50159,181.225,12.7876,4.37453,3.72994,0.0952331,0.995455,66.4914,2.80459,117.03,117.801,117.636,117.446,62.1368,70.2044,68.4739
1.89299,-1.74296,-0.0722002,1.36145,184.029,12.5175,4.41425,3.84996,0.26702,0.963691,67.0611,2.75817,113.182,115.389,114.866,114.361,62.8071,70.7713,68.8854
