 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.0372978,5.45136,-0.0075372,2.53181,0,11.4512,1.1213,0.960441,-0.842431,0.538803,15.5611,1.02472,12.0719,10.3182,11.1587,11.1273,14.9569,16.0786,15.541
0.0061066,5.51691,-0.0061711,2.527,1.02472,11.7797,1.0683,1.01925,-0.840288,0.542141,14.6997,1.01337,11.4717,9.71759,10.5689,10.574,14.1206,15.2523,14.703
0.0504711,5.57021,-0.0041642,2.51991,2.0381,12.4213,1.01362,1.06129,-0.837732,0.546081,13.8502,1.00366,10.8723,9.13409,9.98089,10.0232,13.2966,14.4297,13.8777
0.0936875,5.6046,-0.0035634,2.5172,3.04176,12.7313,0.971826,1.10317,-0.834764,0.550607,13.0113,0.995636,10.2844,8.55227,9.39496,9.47316,12.4762,13.6187,13.0628
0.134158,5.653,-0.0023547,2.51306,4.0374,13.3355,0.94761,1.1474,-0.831379,0.555706,12.1819,0.98934,9.71036,7.96861,8.811,8.92254,11.6553,12.8195,12.2564
0.170431,5.64841,-0.0017519,2.51163,5.02673,13.629,0.915439,1.17246,-0.827576,0.561354,11.3609,0.984827,9.12739,7.3995,8.22875,8.3698,10.847,12.0191,11.4566
0.201122,5.68668,-0.0007205,2.50993,6.01156,14.1986,0.891658,1.18413,-0.823359,0.567521,10.5472,0.982165,8.54761,6.83848,7.64786,7.81345,10.0411,11.2192,10.6613
0.224974,4.93803,-0.0002872,2.50957,6.99373,14.4762,0.825288,1.24468,-0.818738,0.574168,9.73955,0.981423,7.9277,6.23294,7.06781,7.25201,9.2657,10.4542,9.86873
0.240873,3.33262,6.19e-05,2.50949,7.97515,14.7131,0.814357,1.23837,-0.813724,0.581252,8.93691,0.982672,7.34663,5.67628,6.48796,6.68397,8.46356,9.65671,9.07691
0.247852,-1.29898,0.000365,2.50987,8.95782,14.9432,0.833814,1.24483,-0.808335,0.588723,8.13809,0.985976,6.78184,5.1016,5.90749,6.10784,7.64721,8.87095,8.28401
0.245209,-3.97915,0.0002625,2.51009,9.9438,14.8823,0.846084,1.22813,-0.802592,0.596529,7.34198,0.991387,6.20119,4.53644,5.32533,5.52213,6.83726,8.07459,7.48825
0.232503,-6.70257,-0.0001515,2.51026,10.9352,14.4319,0.872192,1.20281,-0.796524,0.604607,6.54742,0.998937,5.62007,3.96728,4.74015,4.92535,6.02008,7.27464,6.68799
0.209469,-6.77019,-0.0006692,2.50997,11.9341,14.1031,0.914314,1.18034,-0.790149,0.612915,5.75327,1.00866,5.03844,3.38335,4.15048,4.316,5.19288,6.47672,5.88166
0.176187,-6.69678,-0.0010583,2.50936,12.9428,13.763,0.955511,1.13515,-0.783548,0.621331,4.95841,1.02049,4.44127,2.80314,3.55453,3.69258,4.36472,5.66371,5.06788
0.133018,-6.58951,-0.0034296,2.50644,13.9633,13.0686,1.00441,1.07993,-0.776577,0.630022,4.16168,1.03448,3.83362,2.21497,2.95032,3.05362,3.52888,4.84206,4.24549
0.0812233,-6.51429,-0.0035446,2.50401,14.9978,12.7108,1.06668,1.01742,-0.770124,0.637894,3.36197,1.04757,3.2192,1.61418,2.33517,2.39772,2.68154,4.01097,3.41378
0.0236812,-6.44297,-0.0003727,2.50084,16.0453,11.9773,1.13157,0.943431,-0.766873,0.641799,2.55831,1.05527,2.59553,1.00426,1.7096,1.72776,1.83207,3.16381,2.57351
-0.0350241,-6.40261,0.0001912,2.50078,17.1006,11.5946,1.20192,0.873077,-0.768034,0.640409,1.75002,1.05705,1.97493,0.38126,1.07871,1.05181,0.980297,2.30914,1.72759
-0.0889476,-6.42604,0.0009406,2.50162,18.1576,10.7988,1.27147,0.813648,-0.773306,0.634032,0.936387,1.05319,1.36156,-0.250882,0.447101,0.378318,0.130233,1.45227,0.879992
-0.131494,-6.40745,0.001234,2.50238,19.2108,10.3739,1.31958,0.755423,-0.782693,0.622407,0.116729,1.0444,0.748517,-0.875572,-0.181388,-0.284307,-0.704585,0.58691,0.0348866
-0.155924,-6.51661,0.001358,2.50425,20.2552,9.47446,1.35956,0.724366,-0.796115,0.605145,-0.709648,1.03188,0.154728,-1.50432,-0.803503,-0.927637,-1.53238,-0.271302,-0.804005
-0.155346,-6.4424,0.0020298,2.50544,21.2871,8.98011,1.37478,0.716236,-0.81347,0.581606,-1.54344,1.01732,-0.424903,-2.12589,-1.41688,-1.54325,-2.34302,-1.12687,-1.63379
-0.124651,-5.96374,0.0115117,2.51356,22.3044,7.92847,1.34521,0.729791,-0.834556,0.550924,-2.38533,1.00246,-1.00007,-2.73177,-2.01869,-2.12272,-3.12644,-1.98327,-2.454
-0.0638502,-5.27498,0.0192968,2.52432,23.3069,7.3832,1.28885,0.78615,-0.858984,0.512003,-3.23602,0.988843,-1.55053,-3.33292,-2.60278,-2.65763,-3.89591,-2.83351,-3.26871
0.0235137,-3.6405,0.0478385,2.56879,24.2957,6.38547,1.19075,0.900874,-0.886067,0.463558,-4.0962,0.977369,-2.08447,-3.93779,-3.16039,-3.13955,-4.64817,-3.67859,-4.0853
0.127541,-2.72915,0.0702358,2.61004,25.2731,5.97308,1.01914,1.0528,-0.914661,0.404223,-4.96655,0.968189,-2.62789,-4.52301,-3.67672,-3.56006,-5.37851,-4.54099,-4.915
0.231113,-2.34845,0.0940271,2.6675,26.2413,5.64419,0.731468,1.31248,-0.943021,0.332732,-5.84778,0.961858,-3.22095,-5.14843,-4.12868,-3.91074,-6.09116,-5.41108,-5.77088
0.315581,-1.21549,0.139857,2.83201,27.2031,5.07991,0.534419,1.4952,-0.96865,0.248428,-6.74057,0.959757,-3.66549,-5.63148,-4.48884,-4.18315,-6.87334,-6.36913,-6.66218
0.364486,-0.541994,0.155988,2.93555,28.1629,4.90956,0.485514,1.52084,-0.988503,0.151201,-7.64562,0.962781,-3.88896,-5.87224,-4.72919,-4.36889,-7.71904,-7.41567,-7.59051
0.368132,-0.256214,0.161979,-3.11976,29.1257,4.78644,0.617682,1.45824,-0.999017,0.0443262,-8.56361,0.969395,-3.8425,-5.91638,-4.82734,-4.45957,-8.59099,-8.49897,-8.54729
0.324286,0.492101,0.149733,-3.01063,30.0951,4.74882,0.816393,1.21241,-0.998028,-0.0627691,-9.49392,0.979028,-3.63563,-5.66043,-4.77406,-4.45041,-9.44267,-9.57002,-9.51427
0.241783,1.24371,0.127103,-2.91394,31.0741,4.82081,0.95472,1.10308,-0.986522,-0.163626,-10.4338,0.992389,-3.40075,-5.43081,-4.58112,-4.3426,-10.2776,-10.6143,-10.4734
0.141078,3.05439,0.0807857,-2.7689,32.0665,5.27118,1.06115,0.999609,-0.966352,-0.257223,-11.3804,1.00965,-3.11244,-5.10386,-4.27422,-4.13789,-11.1075,-11.6375,-11.4167
0.0457919,3.6029,0.0637383,-2.71839,33.0761,5.66228,1.08334,0.943842,-0.939498,-0.342554,-12.3307,1.03274,-2.82022,-4.72476,-3.88104,-3.83802,-11.9596,-12.654,-12.3464
