 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.197765,1.5926,-3.62e-05,-2.21192,0,55.4709,2.04123,9.44176,-0.598463,-0.801151,-130.469,2.99669,144.989,138.117,143.649,143.768,-128.833,-138.033,-130.627
0.196125,1.58256,-3.23e-05,-2.21199,2.99669,55.5283,2.02059,9.45441,-0.598694,-0.800978,-132.263,2.99669,147.378,140.508,146.051,146.168,-130.644,-139.835,-132.42
0.193899,1.56269,-2.44e-05,-2.21211,5.99338,55.6418,2.00555,9.47644,-0.598922,-0.800807,-134.057,2.99669,149.769,142.893,148.452,148.568,-132.451,-141.646,-134.212
0.191046,1.55287,-2.05e-05,-2.21215,8.99007,55.6979,1.98036,9.48769,-0.599147,-0.800639,-135.852,2.99668,152.154,145.283,150.853,150.968,-134.267,-143.448,-136.005
0.187525,1.53344,-1.27e-05,-2.21222,11.9868,55.8089,1.94283,9.4893,-0.599368,-0.800474,-137.648,2.99667,154.531,147.679,153.254,153.367,-136.093,-145.244,-137.798
0.183297,1.52383,-8.7e-06,-2.21224,14.9834,55.8638,1.90464,9.48752,-0.599585,-0.800311,-139.444,2.99666,156.907,150.077,155.655,155.765,-137.92,-147.037,-139.591
0.178321,-6.37867,-9e-07,-2.21226,17.9801,55.9725,1.89184,9.48322,-0.5998,-0.80015,-141.242,2.99665,159.298,152.475,158.056,158.163,-139.728,-148.83,-141.384
0.172557,-13.4788,3e-06,-2.21226,20.9767,55.7441,1.89171,9.49015,-0.600011,-0.799992,-143.039,2.99663,161.696,154.867,160.457,160.561,-141.526,-150.631,-143.177
0.165964,-13.4564,1.09e-05,-2.21223,23.9734,54.769,1.90435,9.50249,-0.600218,-0.799836,-144.838,2.99661,164.101,157.254,162.858,162.958,-143.314,-152.438,-144.97
0.158502,-13.4458,1.48e-05,-2.2122,26.97,54.2755,1.92881,9.52179,-0.600423,-0.799683,-146.637,2.99658,166.513,159.638,165.259,165.355,-145.094,-154.251,-146.763
0.150132,-13.426,2.27e-05,-2.21213,29.9666,53.276,1.96166,9.54288,-0.600623,-0.799532,-148.436,2.99656,168.929,162.019,167.661,167.751,-146.868,-156.066,-148.556
0.140812,-13.4167,2.66e-05,-2.21208,32.9631,52.7697,1.97873,9.56188,-0.600821,-0.799384,-150.236,2.99653,171.335,164.401,170.062,170.146,-148.654,-157.88,-150.349
0.130502,-13.3993,3.44e-05,-2.21196,35.9596,51.7433,1.97441,9.56956,-0.601015,-0.799238,-152.037,2.9965,173.728,166.79,172.463,172.542,-150.459,-159.685,-152.141
0.119163,-13.3913,3.84e-05,-2.21188,38.9561,51.2229,1.95782,9.56454,-0.601206,-0.799094,-153.838,2.99646,176.113,169.186,174.865,174.936,-152.274,-161.481,-153.933
0.106753,-13.3765,4.62e-05,-2.21171,41.9526,50.1668,1.91765,9.58069,-0.601393,-0.798953,-155.64,2.99642,178.484,171.569,177.266,177.33,-154.108,-163.294,-155.725
0.0932327,-13.3697,5.01e-05,-2.21162,44.949,49.6308,1.90601,9.60072,-0.601577,-0.798815,-157.442,2.99638,180.871,173.949,179.668,179.724,-155.92,-165.111,-157.517
0.0785616,-13.3574,5.8e-05,-2.2114,47.9454,48.5418,1.89562,9.6182,-0.601758,-0.798679,-159.245,2.99634,183.258,176.33,182.07,182.118,-157.731,-166.927,-159.308
0.0626993,-13.3519,6.19e-05,-2.21128,50.9417,47.9884,1.89846,9.63915,-0.601935,-0.798545,-161.048,2.99629,185.653,178.708,184.473,184.511,-159.532,-168.746,-161.098
0.0456056,-13.342,6.98e-05,-2.21102,53.938,46.8627,1.89628,9.64954,-0.602109,-0.798414,-162.852,2.99625,188.045,181.093,186.876,186.903,-161.338,-170.556,-162.889
0.0272402,-13.3378,7.37e-05,-2.21087,56.9343,46.2899,1.89059,9.66413,-0.60228,-0.798285,-164.656,2.9962,190.434,183.474,189.279,189.295,-163.147,-172.371,-164.678
0.0075628,-13.33,8.15e-05,-2.21056,59.9305,45.1231,1.89788,9.65808,-0.602447,-0.798159,-166.461,2.99614,192.83,185.868,191.682,191.687,-164.946,-174.17,-166.467
-0.0134667,-13.33,8.57e-05,-2.2104,62.9266,44.5285,1.9004,9.6342,-0.602611,-0.798035,-168.266,2.9961,195.223,188.272,194.086,194.078,-166.75,-175.955,-168.256
-0.0357863,-13.3934,5.68e-05,-2.21009,65.9227,43.3138,1.91062,9.61264,-0.602729,-0.797946,-170.072,2.9961,197.62,190.675,196.49,196.468,-168.547,-177.742,-170.043
-0.0588953,-13.4342,3.61e-05,-2.21,68.9188,42.691,1.93231,9.59647,-0.602757,-0.797925,-171.878,2.99618,200.024,193.075,198.895,198.859,-170.336,-179.535,-171.831
-0.0821756,-13.4574,-5.1e-06,-2.20994,71.915,41.4116,1.94318,9.59368,-0.602694,-0.797973,-173.684,2.99632,202.421,195.468,201.299,201.25,-172.133,-181.339,-173.618
-0.105009,-13.4258,-2.57e-05,-2.20997,74.9113,40.7566,1.95642,9.57084,-0.602539,-0.798089,-175.489,2.99652,204.82,197.874,203.704,203.641,-173.928,-183.128,-175.406
-0.126778,-13.3688,-6.67e-05,-2.21015,77.9078,39.4188,1.96232,9.52991,-0.602294,-0.798274,-177.295,2.9968,207.214,200.293,206.109,206.033,-175.728,-184.902,-177.193
-0.146865,-13.3444,-8.74e-05,-2.21031,80.9046,38.7347,1.96909,9.4878,-0.601958,-0.798528,-179.099,2.99714,209.611,202.714,208.514,208.425,-177.527,-186.675,-178.982
-0.164653,-13.2973,-0.0001272,-2.21074,83.9018,37.3327,1.96457,9.47883,-0.601531,-0.798849,-180.903,2.99756,212.001,205.117,210.918,210.819,-179.333,-188.475,-180.771
-0.179524,-13.2863,-0.0001512,-2.21102,86.8993,36.6136,1.95301,9.4861,-0.601009,-0.799242,-182.705,2.99805,214.388,207.513,213.322,213.214,-181.144,-190.287,-182.561
-0.190862,-13.2097,-0.0001755,-2.21168,89.8974,35.1326,1.93129,9.50956,-0.600413,-0.79969,-184.506,2.99861,216.771,209.901,215.726,215.611,-182.962,-192.111,-184.353
-0.19805,-13.1461,-0.0002458,-2.2121,92.896,34.3725,1.9203,9.54195,-0.59966,-0.800255,-186.305,2.99934,219.162,212.288,218.129,218.01,-184.769,-193.941,-186.147
-0.2,-12.6542,-0.0003942,-2.21335,95.8953,32.8117,1.91601,9.57051,-0.599099,-0.800675,-188.103,3.00022,221.559,214.677,220.531,220.411,-186.569,-195.766,-187.943
-0.198316,-12.0884,-0.0008244,-2.21457,98.8956,32.0313,1.91172,9.57617,-0.600353,-0.799735,-189.901,3.00053,223.96,217.063,222.931,222.812,-188.373,-197.56,-189.743
-0.196702,-10.8618,-0.0022231,-2.22042,101.896,30.528,1.9264,9.56474,-0.604393,-0.796687,-191.708,3.00003,226.371,219.426,225.326,225.207,-190.173,-199.328,-191.551
-0.195575,-10.3529,-0.0029692,-2.22561,104.896,29.8081,1.9739,9.53324,-0.611057,-0.791586,-193.529,2.99897,228.795,221.763,227.708,227.589,-191.967,-201.076,-193.374
